ICD 10 CODE,DESCRIPTION,GROUP,
I82.0,Budd-Chiari syndrome,OTHER DISORDERS OF CIRCULATORY SYSTEM,
I82.1,Thrombophlebitis migrans,OTHER DISORDERS OF CIRCULATORY SYSTEM,
I82.2,Embolism and thrombosis of vena cava,OTHER DISORDERS OF CIRCULATORY SYSTEM,
I82.3,Embolism and thrombosis of renal vein,OTHER DISORDERS OF CIRCULATORY SYSTEM,
I82.8,Embolism and thrombosis of other specified veins,OTHER DISORDERS OF CIRCULATORY SYSTEM,
I82.9,Embolism and thrombosis of unspecified vein; Embolism of vein NOS; Thrombosis (vein) NOS,OTHER DISORDERS OF CIRCULATORY SYSTEM,
E15,Nondiabetic hypoglycaemic coma; Nondiabetic hypoglycaemic coma; Drug-induced insulin coma in nondiabetic; Hyperinsulinism with hypoglycaemic coma; Hypoglycaemic coma NOS,OTHER DISORDERS OF GLUCOSE REGULATION,
E16.0,Drug-induced hypoglycaemia without coma,OTHER DISORDERS OF GLUCOSE REGULATION,
E16.1,Other hypoglycaemia; Functional nonhyperinsulinaemic hypoglycaemia; Hyperinsulinism NOS; Functional Hyperinsulinism; Hyperplasia of pancreatic islet beta cells NOS; Posthypoglycaemic coma encephalopathy,OTHER DISORDERS OF GLUCOSE REGULATION,
E16.3,Increased secretion of glucagon; Hyperplasia of pancreatic endocrine cells with glucagon excess; Hyperplasia of pancreatic endocrine cells with glucagon excess,OTHER DISORDERS OF GLUCOSE REGULATION,
E16.4,Abnormal secretion of gastrin; Hypergastrinaemia; Zollinger-Ellison syndrome,OTHER DISORDERS OF GLUCOSE REGULATION,
E16.8,Other specified disorders of pancreatic internal secretion; Increased secretion from endocrine pancreas of growth hormone-releasing hormone;  Increased secretion from endocrine pancreas of pancreatic polypeptide; Increased secretion from endocrine pancreas of somatostatin; Increased secretion from endocrine pancreas of vasoactive-intestinal polypeptide,OTHER DISORDERS OF GLUCOSE REGULATION,
E16.9,"Disorder of pancreatic internal secretion, unspecified; Islet-cell hyperplasia NOS; Pancreatic endocrine cell hyperplasia NOS",OTHER DISORDERS OF GLUCOSE REGULATION,
N82.0,Vesicovaginal fistula,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
N83.0,Follicular cyst of ovary; Cyst of graafian follicle;  Haemorrhagic follicular cyst of ovary,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
N83.3,Acquired atrophy of ovary and fallopian tube,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
N83.6,Haematosalpinx,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
N83.7,Haematoma of broad ligament,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
N85.7,Haematometra; Haematosalpinx with haematometra,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
N89.7,Haematocolpos; Haematocolpos with haematometra or haematosalpinx,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
Q51.2,Other doubling of uterus' Doubling of uterus NOS,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
Q51.3,Bicornate uterus,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
Q51.8,Other congenital malformations of uterus and cervix; Hypoplasia of uterus and cervix,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
Q52.1,Doubling of vagina; Septate vagina,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
Q52.2,Congenital rectovaginal fistula,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
Q52.3,Imperforate hymen,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
Q52.8,Other specified congenital malformations of female genitalia,OTHER DISORDERS OF THE FEMALE GENITAL TRACT,
N47,"Redundant prepuce, phimosis and paraphimosis; Adherent prepuce; Tight foreskin",OTHER DISORDERS OF THE MALE GENITAL TRACT,
N48.8,Other specified disorders of penis; Atrophyof corpus cavernosum and penis ; Hypertrophy of corpus cavernosum and penis ; Thrombosis of corpus cavernosum and penis,OTHER DISORDERS OF THE MALE GENITAL TRACT,
N50.0,Atrophy of testis,OTHER DISORDERS OF THE MALE GENITAL TRACT,
N50.1,"Vascular disorders of male genital organs; Haematocele of male genital organs NOS; Haemorrhage of male genital organs;, Thrombosis of male genital organs",OTHER DISORDERS OF THE MALE GENITAL TRACT,
N50.8,"Other specified disorders of male genital organs; Atrophy of scrotum, seminal vesicle, spermatic cord, testis [except atrophy], tunica vaginalis and vas deferens; Hypertrophy of scrotum, seminal vesicle, spermatic cord, testis [except atrophy], tunica vaginalis and vas deferens; Oedema of scrotum, seminal vesicle, spermatic cord, testis [except atrophy], tunica vaginalis and vas deferens; Ulcer of scrotum, seminal vesicle, spermatic cord, testis [except atrophy], tunica vaginalis and vas deferens; Chylocele, tunica vaginalis (nonfilarial) NOS; Fistula, urethroscrotal; Stricture of spermatic cord; Stricture of tunica vaginalis; Stricture of vas deferens",OTHER DISORDERS OF THE MALE GENITAL TRACT,
Q55.0,Absence and aplasia of testis; Monorchism,OTHER DISORDERS OF THE MALE GENITAL TRACT,
Q55.1,Hypoplasia of testis and scrotum; Fusion of testes,OTHER DISORDERS OF THE MALE GENITAL TRACT,
Q55.2,Other congenital malformations of testis and scrotum; Congenital malformation of testis or scrotum NOS; Polyorchism; Retractile testis; Testis migrans,OTHER DISORDERS OF THE MALE GENITAL TRACT,
Q55.4,"Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate; Absence or aplasia of prostate; Absence or aplasia of spermatic cord; Congenital malformation of vas deferens, epididymis, seminal vesicles or prostate 
NOS",OTHER DISORDERS OF THE MALE GENITAL TRACT,
Q55.6,Other congenital malformations of penis; Congenital malformation of penis NOS; Curvature of penis (lateral); Hypoplasia of penis,OTHER DISORDERS OF THE MALE GENITAL TRACT,
Q55.9,"Congenital malformation of male genital organ, unspecified; Congenital anomalyNOS of male genital organ ; Congenital deformity NOS of male genital organ",OTHER DISORDERS OF THE MALE GENITAL TRACT,
Q56.1,"Male pseudohermaphroditism, not elsewhere classified; Male pseudohermaphroditism NOS",OTHER DISORDERS OF THE MALE GENITAL TRACT,
Q56.3,"Pseudohermaphroditism, unspecified",OTHER DISORDERS OF THE MALE GENITAL TRACT,
G90.0,Idiopathic peripheral autonomic neuropathy; Carotid sinus syncope,OTHER DISORDERS OF THE NERVOUS SYSTEM,
G90.1,Familial dysautonomia [Riley-Day],OTHER DISORDERS OF THE NERVOUS SYSTEM,
G90.2,Horner's syndrome; Bernard(-Horner) syndrome,OTHER DISORDERS OF THE NERVOUS SYSTEM,
G90.3,Multi-system degeneration; Neurogenic orthostatic hypotension [Shy-Drager],OTHER DISORDERS OF THE NERVOUS SYSTEM,
G90.4,Autonomic dysreflexia,OTHER DISORDERS OF THE NERVOUS SYSTEM,
G90.9,"Disorder of autonomic nervous system, unspecified; acquired hydrocephalus
Autonomic neuropathy",OTHER DISORDERS OF THE NERVOUS SYSTEM,
G93.0,"Cerebral cysts; Arachnoid cyst; Porencephalic cyst, acquired",OTHER DISORDERS OF THE NERVOUS SYSTEM,
G93.2,Benign intracranial hypertension,OTHER DISORDERS OF THE NERVOUS SYSTEM,
G93.3,Postviral fatigue syndrome; Benign myalgic encephalomyelitis,OTHER DISORDERS OF THE NERVOUS SYSTEM,
G93.4,"Encephalopathy, unspecified",OTHER DISORDERS OF THE NERVOUS SYSTEM,
G93.7,Reye's syndrome,OTHER DISORDERS OF THE NERVOUS SYSTEM,
G93.8,Other specified disorders of brain,OTHER DISORDERS OF THE NERVOUS SYSTEM,
G93.9,"Disorder of brain, unspecified",OTHER DISORDERS OF THE NERVOUS SYSTEM,
G94.8*,Other specified disorders of brain in diseases classified elswhere,OTHER DISORDERS OF THE NERVOUS SYSTEM,
G95.0,Syringomyelia and syringobulbia,OTHER DISORDERS OF THE NERVOUS SYSTEM,
G95.1,Vascular myelopathies; Acute infarction of spinal cord (embolic)(nonembolic); Arterial thrombosis of spinal cord; Haematomyelia; Nonpyogenic intraspinal phlebitis and thrombophlebitis; Oedema of spinal cord; Subacute necrotic myelopathy,OTHER DISORDERS OF THE NERVOUS SYSTEM,
G95.2,"Cord compression, unspecified",OTHER DISORDERS OF THE NERVOUS SYSTEM,
G95.8,"Other specified diseases of spinal cord; Cord bladder NOS; elopathy drug-induced; Myelopathy radiation-induced
Spinal sclerosis",OTHER DISORDERS OF THE NERVOUS SYSTEM,
G95.9,"Disease of spinal cord, unspecified; Myelopathy NOS",OTHER DISORDERS OF THE NERVOUS SYSTEM,
G96.0,Cerebrospinal fluid leak,OTHER DISORDERS OF THE NERVOUS SYSTEM,
G96.1,"Disorders of meninges, not elsewhere classified; Cerebral Meningeal adhesions; Spinal Meningeal adhesions",OTHER DISORDERS OF THE NERVOUS SYSTEM,
G96.8,Other specified disorders of central nervous system,OTHER DISORDERS OF THE NERVOUS SYSTEM,
G96.9,"Disorder of central nervous system, unspecified",OTHER DISORDERS OF THE NERVOUS SYSTEM,
G98," Other disorders of nervous system, not elsewhere classified; Nervous system disorder NOS",OTHER DISORDERS OF THE NERVOUS SYSTEM,
P90,"Convulsions of newborn
Seizures, newborn",OTHER DISORDERS OF THE NEWBORN,
P91.1,Acquired periventricular cysts of newborn,OTHER DISORDERS OF THE NEWBORN,
P91.2,Neonatal cerebral leukomalacia,OTHER DISORDERS OF THE NEWBORN,
P94.1,Congenital hypertonia,OTHER DISORDERS OF THE NEWBORN,
P94.2,Congenital hypotonia; Nonspecific floppy baby syndrome,OTHER DISORDERS OF THE NEWBORN,
P94.9,"Disorder of muscle tone of newborn, unspecified",OTHER DISORDERS OF THE NEWBORN,
P96.5,"Complications of intrauterine procedures, not elsewhere classified",OTHER DISORDERS OF THE NEWBORN,
P96.8,Other specified conditions originating in the perinatal period,OTHER DISORDERS OF THE NEWBORN,
P96.9,"Condition originating in the perinatal period, unspecified; Congenital debility NOS",OTHER DISORDERS OF THE NEWBORN,
E06.0,Acute thyroiditis; Abscess of thyroid;  Pyogenic Thyroiditis; Suppurative Thyroiditis,OTHER DISORDERS OF THE THYROID,
E06.1,Subacute thyroiditis;  de Quervain Thyroiditis; Giant-Cell Thyroiditis; Granulomatous  Thyroiditis; Nonsuppurative Thyroiditis,OTHER DISORDERS OF THE THYROID,
E06.2,Chronic thyroiditis with transient thyrotoxicosis,OTHER DISORDERS OF THE THYROID,
E06.3,Autoimmune thyroiditis; Hashimoto's thyroiditis ; Transient hashitoxicosis; Lymphadenoid goitre; lymphocytic thyroiditis; Struma lymphomatosa,OTHER DISORDERS OF THE THYROID,
E06.5,Other chronic thyroiditis; Chronic Thyroiditis NOS;  Chronic Fibrous Thyroiditis; Ligneous Thyroiditis; Riedel Thyroiditis,OTHER DISORDERS OF THE THYROID,
E06.9,"Thyroiditis, unspecified",OTHER DISORDERS OF THE THYROID,
E07.0,Hypersecretion of calcitonin; C-cell hyperplasia of thyroid; Hypersecretion of thyrocalcitonin,OTHER DISORDERS OF THE THYROID,
E07.1,Dyshormogenetic goitre; Familial dyshormogenetic goitre; Pendred's syndrome,OTHER DISORDERS OF THE THYROID,
E07.8,Other specified disorders of thyroid; Abnormality of thyroid-binding globulin; Haemorrhage of thyroid; Infarction of thyroid; Sick-euthyroid syndrome,OTHER DISORDERS OF THE THYROID,
E25.9,"Adrenogenital disorder, unspecified; Adrenogenital syndrome NOS",OTHER ENDOCRINE DISORDERS,
E28.8,Other ovarian dysfunction; Ovarian hyperfunction NOS,OTHER ENDOCRINE DISORDERS,
E29.1,Testicular hypofunction; Defective biosynthesis of testicular androgen NOS; 5-a-Reductase deficiency (with male pseudohermaphroditism); Testicular hypogonadism NOS,OTHER ENDOCRINE DISORDERS,
E29.9,"Testicular dysfunction, unspecified",OTHER ENDOCRINE DISORDERS,
E31.0,Autoimmune polyglandular failure,OTHER ENDOCRINE DISORDERS,
E31.1,Polyglandular hyperfunction,OTHER ENDOCRINE DISORDERS,
E31.9,"Polyglandular dysfunction, unspecified",OTHER ENDOCRINE DISORDERS,
E32.0,Persistent hyperplasia of thymus; Hypertrophy of thymus,OTHER ENDOCRINE DISORDERS,
E32.8,Other diseases of thymus,OTHER ENDOCRINE DISORDERS,
E32.9,"Disease of thymus, unspecified",OTHER ENDOCRINE DISORDERS,
E34.0,Carcinoid syndrome,OTHER ENDOCRINE DISORDERS,
E34.8,Other specified endocrine disorders; Pineal gland dysfunction; Progeria,OTHER ENDOCRINE DISORDERS,
E34.9,"Endocrine disorder, unspecified; Endocrine Disturbance NOS; Hormone Disturbance NOS",OTHER ENDOCRINE DISORDERS,
N25.0,Renal osteodystrophy; Azotaemic osteodystrophy; Phosphate-losing tubular disorders; Renal rickets; Renal short stature,OTHER NEPHROPATHY,
N25.8,Other disorders resulting from impaired renal tubular function; Lightwood-Albright syndrome; Renal tubular acidosis NOS; Secondary hyperparathyroidism of renal origin,OTHER NEPHROPATHY,
N25.9,"Disorder resulting from impaired renal tubular function, unspecified",OTHER NEPHROPATHY,
N28.1,"Cyst of kidney, acquired; Multiple cyst of kidney, acquired; Solitary cyst of kidney, acquired",OTHER NEPHROPATHY,
J92.9,Pleural plaque without asbestos; Pleural plaque NOS; Pleural thickening,OTHER PLEURAL CONDITIONS,
J94.0,Chylous effusion; Chyliform effusion,OTHER PLEURAL CONDITIONS,
J94.1,Fibrothorax,OTHER PLEURAL CONDITIONS,
J94.8,Other specified pleural conditions; Hydrothorax,OTHER PLEURAL CONDITIONS,
J94.9,"Pleural condition, unspecified",OTHER PLEURAL CONDITIONS,
J98.0,"Diseases of bronchus, not elsewhere classified; Broncholithiasis; Calcification of bronchus; Stenosis of bronchus; Ulcer of bronchus; Tracheobronchial collapse; Tracheobronchial dyskinesia",OTHER RESPIRATORY DISORDERS,
J98.4,Other disorders of lung; Calcification of lung; Acquired cystic lung disease; Lung disease NOS; Pulmolithiasis,OTHER RESPIRATORY DISORDERS,
J98.5,"Diseases of mediastinum, not elsewhere classified; Fibrosis of mediastinum; Hernia of mediastinum; Retraction of mediastinum; Mediastinitis of mediastinum",OTHER RESPIRATORY DISORDERS,
J98.6,Disorders of diaphragm; Diaphragmatitis; Paralysis of diaphragm; Relaxation of diaphragm,OTHER RESPIRATORY DISORDERS,
J98.8,Other specified respiratory disorders,OTHER RESPIRATORY DISORDERS,
J98.9,"Respiratory disorder, unspecified; Chronic respiratory disease NOS",OTHER RESPIRATORY DISORDERS,
A66.9,"Yaws, unspecified",OTHER SPIROCHAETAL DISEASES,
A67.1,Intermediate lesions of pinta; Erythematous plaques of carate pinta; Hyperchromic lesions of carate pinta; Hyperkeratosis of carate pinta; Pintids of carate pinta,OTHER SPIROCHAETAL DISEASES,
A68.9,"Relapsing fever, unspecified",OTHER SPIROCHAETAL DISEASES,
A69.0,Necrotizing ulcerative stomatitis; Cancrum oris; Fusospirochaetal gangrene; Noma; Stomatitis gangrenosa,OTHER SPIROCHAETAL DISEASES,
A69.1,"Other Vincent's infections; Fusospirochaetal pharyngitis ; Acute Necrotizing Ulcerative gingivitis;  Acute Necrotizing Ulcerative Gingivostomatitis;  Spirochaetal stomatitis, Trench mouth; Vincent's  angina; Vincent’s gingivitis",OTHER SPIROCHAETAL DISEASES,
A69.2,Lyme disease; Erythema chronicum migrans due to Borrelia burgdorferi,OTHER SPIROCHAETAL DISEASES,
A69.9,"Spirochaetal infection, unspecified",OTHER SPIROCHAETAL DISEASES,
H65.0,Acute serous otitis media; Acute and subacute secretory otitis media,OTITIS MEDIA,
H65.1,Other acute nonsuppurative otitis media; Acute  otitis media; Subacute otitis media; Acute Mucoid allergic otitis media; Subacute mucoid  allergic otitis media; Acute allergic Sanguinous otitis media; Subacute Sanguinous allergic otitis media; Acute allergic serous  otitis media; Subacute allergic serous otitis media; Acute nonsuppurative NOS otitis media; Subcute nonsuppurative NOS otitis media; Acute sanguinous otitis media;  Subacute sanguinous otitis media; Acute seromucinous otitis media; Subacute seromucinous otitis media,OTITIS MEDIA,
H65.2,Chronic serous otitis media; Chronic tubotympanal catarrh,OTITIS MEDIA,
H65.3,"Chronic mucoid otitis media; Glue ear; Otitis media, chronic mucinous; Otitis media, chronic secretory; Otitis media, chronic transudative",OTITIS MEDIA,
H65.4,"Other chronic nonsuppurative otitis media; Otitis media, chronic allergic; Otitis media, chronic exudative; Otitis media, chronic nonsuppurative NOS; Otitis media, chronic seromucinous; Otitis media, chronic with effusion (nonpurulent)",OTITIS MEDIA,
H65.9,"Nonsuppurative otitis media, unspecified; Allergic Otitis media ; Catarrhal Otitis media; Exudative Otitis media ; Mucoid Otitis media ; Secretory Otitis media ; Seromucinous otitis media;  Serous Otitis media; Transudative Otitis media; Otitis media with (nonpurulent) effusion",OTITIS MEDIA,
H66.0,Acute suppurative otitis media,OTITIS MEDIA,
H66.1,Chronic tubotympanic suppurative otitis media; Benign chronic suppurative otitis media; Chronic tubotympanic disease,OTITIS MEDIA,
H66.2,Chronic atticoantral suppurative otitis media; Chronic atticoantral disease,OTITIS MEDIA,
H66.3,Other chronic suppurative otitis media; Chronic suppurative otitis media NOS,OTITIS MEDIA,
H66.4,"Suppurative otitis media, unspecified; Purulent otitis media NOS",OTITIS MEDIA,
H66.9,"Otitis media, unspecified; Otitis media NOS; Acute Otitis media  NOS;   Chronic Otitis media NOS",OTITIS MEDIA,
B05.3+ H67.1*,Otitis media in measles, OTITIS MEDIA,
N83.1,Corpus luteum cyst; Haemorrhagic corpus luteum cyst,OVARIAN CYSTS,
N83.2,Other and unspecified ovarian cysts; Retention cyst of ovary; Simple cyst of ovary,OVARIAN CYSTS,
N70.0,Acute salpingitis and oophoritis,PELVIC INFLAMMATORY DISEASES,
N70.1,Chronic salpingitis and oophoritis; Hydrosalpinx,PELVIC INFLAMMATORY DISEASES,
N70.9,"Salpingitis and oophoritis, unspecified",PELVIC INFLAMMATORY DISEASES,
N71.0,Acute inflammatory disease of uterus,PELVIC INFLAMMATORY DISEASES,
N71.1,Chronic inflammatory disease of uterus,PELVIC INFLAMMATORY DISEASES,
N71.9,"Inflammatory disease of uterus, unspecified",PELVIC INFLAMMATORY DISEASES,
N72,Inflammatory disease of cervix uteri; Cervicitis with or without erosion or ectropion; Endocervicitis with or without erosion or ectropion; Exocervicitis with or without erosion or ectropion,PELVIC INFLAMMATORY DISEASES,
N73.0,"Acute parametritis and pelvic cellulitis; Acute abcess of broad ligament; Acute abscess of parametrium; Acute pelvic cellulitis, female",PELVIC INFLAMMATORY DISEASES,
N73.1,Chronic parametritis and pelvic cellulitis,PELVIC INFLAMMATORY DISEASES,
N73.2,Unspecified parametritis and pelvic cellulitis,PELVIC INFLAMMATORY DISEASES,
N73.3,Female acute pelvic peritonitis,PELVIC INFLAMMATORY DISEASES,
N73.4,Female chronic pelvic peritonitis,PELVIC INFLAMMATORY DISEASES,
N73.5,"Female pelvic peritonitis, unspecified",PELVIC INFLAMMATORY DISEASES,
N73.6,Female pelvic peritoneal adhesions,PELVIC INFLAMMATORY DISEASES,
N73.8,Other specified female pelvic inflammatory diseases,PELVIC INFLAMMATORY DISEASES,
N73.9,"Female pelvic inflammatory disease, unspecified; Female pelvic infection or inflammation NOS",PELVIC INFLAMMATORY DISEASES,
N74.8*,Female pelvic inflammatory disorders in other diseases classified elsewhere,PELVIC INFLAMMATORY DISEASES,
O08.0,Genital tract and pelvic infection following abortion and ectopic and molar pregnancy; Endometritis; Oophoritis; Parametritis; Pelvic peritonitis; Salpingitis; Salpingo-oophoritis; Sepsis; Septic shock; Septicaemia,PELVIC INFLAMMATORY DISEASES,
N94.0,Mittelschmerz,PELVIC PAIN,
N94.1,Dyspareunia,PELVIC PAIN,
N94.2,Vaginismus,PELVIC PAIN,
N94.3,Premenstrual tension syndrome,PELVIC PAIN,
N94.4,Primary dysmenorrhoea,PELVIC PAIN,
N94.5,Secondary dysmenorrhoea,PELVIC PAIN,
N94.6,"Dysmenorrhoea, unspecified",PELVIC PAIN,
K25.0,"Gastric ulcer, acute / Acute erosion of stomach/ Pylorus peptic ulcer / Stomach peptic ulcer with hemorrhage",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K25.1,"Gastric ulcer, acute/ Acute erosion of stomach/ Pylorus peptic ulcer / Stomach peptic ulcer with perforation",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K25.2,"Gastric ulcer, acute / Acute erosion of stomach/ Pylorus peptic ulcer / Stomach peptic ulcer with both haemorrhage and perforation",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K25.4,"Gastric ulcer, acute / Acute erosion of stomach/ Pylorus peptic ulcer / Stomach peptic ulcer, chronic or unspecified with haemorrhage",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K25.5,"Gastric ulcer, acute / Acute erosion of stomach/ Pylorus peptic ulcer / Stomach peptic ulcer, chronic or unspecified with perforation",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K25.6,"Gastric ulcer, acute / Acute erosion of stomach/ Pylorus peptic ulcer / Stomach peptic ulcer, chronic or unspecified with both haemorrhage and perforation",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K26.0,"Duodenal ulcer, acute / Acute erosion of duodenum/ Duodenal peptic  ulcer/ Postpyloric peptic  ulcer with haemorrhage",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K26.1,"Duodenal ulcer, acute / Acute erosion of duodenum/ Duodenal peptic  ulcer/ Postpyloric peptic  ulcer with perforation",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K26.4,"Chronic Duodenal/ Postpyloric ulcer/ erosion, or unspecified with haemorrhage",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K26.5,"Chronic Duodenal/ Postpyloric ulcer/ erosion, or unspecified with perforation",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K26.6,"Chronic Duodenal/ Postpyloric ulcer/ erosion, or unspecified with both haemorrhage and perforation",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K27.0,"Acute Peptic ulcer/ Gastroduodenal ulcer NOS, site unspecified,  with haemorrhage",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K27.1,"Acute Peptic ulcer / Gastroduodenal ulcer, site unspecified,  with perforation",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K27.2,"Acute Peptic/ Gastroduodenal ulcer, site unspecified,  with both haemorrhage and perforation",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K27.4,"Chronic  or unspecified Peptic/ Gastroduodenal ulcer, site unspecified,  with haemorrhage",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K27.5,"Chronic or unspecified Peptic/ Gastroduodenal ulcer, site unspecified  with perforation",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K27.6,"Chronic or unspecified Peptic/ Gastroduodenal ulcer, site unspecified, with both haemorrhage and perforation",PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K28.0,Acute Gastrojejunal ulcer/ Anastomotic peptic ulcer or erosion/ Gastrocolic peptic ulcer or erosion/ Gastrointestinal peptic ulcer or erosion/ Gastrojejunal peptic ulcer or erosion/ Jejunal peptic ulcer or erosion/ Marginal peptic ulcer or erosion/ Stomal peptic ulcer or erosion,PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K28.1,Acute Gastrojejunal ulcer/ Anastomotic peptic ulcer or erosion/ Gastrocolic peptic ulcer or erosion/ Gastrointestinal peptic ulcer or erosion/ Gastrojejunal peptic ulcer or erosion/ Jejunal peptic ulcer or erosion/ Marginal peptic ulcer or erosion/ Stomal peptic ulcer or erosion,PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K28.2,Acute Gastrojejunal ulcer/ Anastomotic peptic ulcer or erosion/ Gastrocolic peptic ulcer or erosion/ Gastrointestinal peptic ulcer or erosion/ Gastrojejunal peptic ulcer or erosion/ Jejunal peptic ulcer or erosion/ Marginal peptic ulcer or erosion/ Stomal peptic ulcer or erosion,PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K28.3,Acute Gastrojejunal ulcer/ Anastomotic peptic ulcer or erosion/ Gastrocolic peptic ulcer or erosion/ Gastrointestinal peptic ulcer or erosion/ Gastrojejunal peptic ulcer or erosion/ Jejunal peptic ulcer or erosion/ Marginal peptic ulcer or erosion/ Stomal peptic ulcer or erosion,PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K28.4,Chronic or unspecified Gastrojejunal ulcer/ Anastomotic peptic ulcer or erosion/ Gastrocolic peptic ulcer or erosion/ Gastrointestinal peptic ulcer or erosion/ Gastrojejunal peptic ulcer or erosion/ Jejunal peptic ulcer or erosion/ Marginal peptic ulcer or erosion/ Stomal peptic ulcer or erosion,PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K28.5,Chronic or unspecified Gastrojejunal ulcer/ Anastomotic peptic ulcer or erosion/ Gastrocolic peptic ulcer or erosion/ Gastrointestinal peptic ulcer or erosion/ Gastrojejunal peptic ulcer or erosion/ Jejunal peptic ulcer or erosion/ Marginal peptic ulcer or erosion/ Stomal peptic ulcer or erosion,PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K28.6,Chronic or unspecified Gastrojejunal ulcer/ Anastomotic peptic ulcer or erosion/ Gastrocolic peptic ulcer or erosion/ Gastrointestinal peptic ulcer or erosion/ Gastrojejunal peptic ulcer or erosion/ Jejunal peptic ulcer or erosion/ Marginal peptic ulcer or erosion/ Stomal peptic ulcer or erosion,PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K29.0,Acute haemorrhagic gastritis; Acute erosive gastritis with haemorrhage,PEPTIC ULCER DISEASE WITH HEMORRHAGE,
K25.3,"Gastric ulcer, acute / Acute erosion of stomach/ Pylorus peptic ulcer / Stomach peptic ulcer without haemorrhage or perforation",PEPTIC ULCER DISEASE WITHOUT HEMORRHAGE,
K25.7,"Gastric/ Peptic/ Pyloric ulcer/ erosion, chronic without haemorrhage or perforation",PEPTIC ULCER DISEASE WITHOUT HEMORRHAGE,
K25.9,"Gastric/ Peptic/ Pyloric ulcer/ erosion, unspecified as acute or chronic, without haemorrhage or perforation",PEPTIC ULCER DISEASE WITHOUT HEMORRHAGE,
K26.3,"Duodenal ulcer, acute / Acute erosion of duodenum/ Duodenal peptic  ulcer/ Postpyloric peptic  ulcer without haemorrhage or perforation",PEPTIC ULCER DISEASE WITHOUT HEMORRHAGE,
K26.7,"Chronic Duodenal/ Postpyloric ulcer/ erosion, without haemorrhage or perforation",PEPTIC ULCER DISEASE WITHOUT HEMORRHAGE,
K26.9,"Duodenal/ Postpyloric ulcer/ erosion, unspecified as acute or chronic, without haemorrhage or perforation",PEPTIC ULCER DISEASE WITHOUT HEMORRHAGE,
K27.3,"Acute Peptic/ Gastroduodenal ulcer, site unspecified, without haemorrhage or perforation; gastroduodenal ulcer NOS; Peptic ulcer NOS",PEPTIC ULCER DISEASE WITHOUT HEMORRHAGE,
K27.7,"Chronic Peptic/ Gastroduodenal ulcer, site unspecified,  without haemorrhage or perforation; gastroduodenal ulcer NOS; Peptic ulcer NOS",PEPTIC ULCER DISEASE WITHOUT HEMORRHAGE,
K27.9,"Peptic/ Gastroduodenal ulcer, unspecified as acute or chronic, without haemorrhage or perforation; gastroduodenal ulcer NOS; Peptic ulcer NOS",PEPTIC ULCER DISEASE WITHOUT HEMORRHAGE,
K28.7,Chronic Gastrojejunal ulcer/ Anastomotic peptic ulcer or erosion/ Gastrocolic peptic ulcer or erosion/ Gastrointestinal peptic ulcer or erosion/ Gastrojejunal peptic ulcer or erosion/ Jejunal peptic ulcer or erosion/ Marginal peptic ulcer or erosion/ Stomal  peptic ulcer or erosion,PEPTIC ULCER DISEASE WITHOUT HEMORRHAGE,
